Issue Type,Issue ID,Parent ID,Summary,Description,Epic Name,Prioridad MoSCoW,Fuente del requisito,Estado de verificación,Labels,Labels,Labels,Labels
Story,11,1,RF-02 — Gestión de plantaciones y lotes,"El sistema debe permitir registrar, editar y consultar la plantación y sus lotes, con variedad sembrada, área en hectáreas, número de palmas y fecha de siembra.  ||  HISTORIA HU-02: Como administrador general, quiero registrar los lotes con su variedad y superficie, para poder asociarles labores, diagnósticos y cosechas.  ||  ENTRADAS/SALIDAS: Entrada: datos identificativos y productivos del lote. Salida: lote almacenado y disponible en el listado.  ||  PRE/POST: Pre: persona usuaria con permiso de administración. Post: el lote queda disponible para asociar labores, diagnósticos y cosechas.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Tras registrar un lote, este aparece en el listado y puede seleccionarse como destino de una labor, un diagnóstico y un registro de cosecha.",,Must,"Administrador general - EV-01, EV-02, EV-11",Pendiente de verificación,Bloque-I,CU:CU-12,MU:MU-05,PRUEBA:CP-02
Sub-task,12,11,"HU-02/CA-02 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-02: Dado un lote recién registrado con variedad asignada, cuando se abre el formulario de registro de labor, entonces el lote aparece como opción seleccionable.",,Must,"Administrador general - EV-01, EV-02, EV-11",Pendiente de verificación,Bloque-I,PRUEBA:CP-02,,
Sub-task,13,11,RF-02 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Tras registrar un lote, este aparece en el listado y puede seleccionarse como destino de una labor, un diagnóstico y un registro de cosecha.",,Must,"Administrador general - EV-01, EV-02, EV-11",Pendiente de verificación,Bloque-I,PRUEBA:CP-02,,
Story,14,1,RF-03 — Gestión de personal y equipos de trabajo,"El sistema debe permitir registrar al personal y organizarlo por equipos funcionales: administración, polinización, control fitosanitario, riego y labores agrícolas.  ||  HISTORIA HU-03: Como administrador general, quiero organizar al personal por equipos funcionales, para asignar labores y evaluar el desempeño por cuadrilla.  ||  ENTRADAS/SALIDAS: Entrada: datos laborales de la persona trabajadora y equipo asignado. Salida: persona registrada y vinculada a un equipo.  ||  PRE/POST: Pre: persona usuaria con permiso de administración. Post: queda disponible para asignación de labores y cálculo de avance.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Cada persona registrada queda asociada al menos a un equipo y aparece como asignable en el registro de labores.",,Must,"Administrador general - EV-01, EV-11",Pendiente de verificación,Bloque-I,CU:CU-13,MU:sin-mockup,PRUEBA:CP-03
Sub-task,15,14,"HU-03/CA-03 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-03: Dado un trabajador asignado al equipo de polinización, cuando se consulta el equipo, entonces la persona figura en él y es asignable a labores de ese tipo.",,Must,"Administrador general - EV-01, EV-11",Pendiente de verificación,Bloque-I,PRUEBA:CP-03,,
Sub-task,16,14,RF-03 — Verificar criterio de verificación de la ficha (§3.2 del ERS),Cada persona registrada queda asociada al menos a un equipo y aparece como asignable en el registro de labores.,,Must,"Administrador general - EV-01, EV-11",Pendiente de verificación,Bloque-I,PRUEBA:CP-03,,
Story,17,1,RF-10 — Gestión de variedades de palma,"El sistema debe registrar la variedad sembrada por lote y emplearla para parametrizar los umbrales de diagnóstico y de madurez, así como las advertencias sobre polinizadores naturales.  ||  HISTORIA HU-08: Como asesor técnico, quiero que el sistema conozca la variedad de cada lote, para que los umbrales de diagnóstico correspondan al material sembrado.  ||  ENTRADAS/SALIDAS: Entrada: variedad asignada al lote y sus parámetros. Salida: umbrales aplicables a los módulos de diagnóstico y clasificación.  ||  PRE/POST: Pre: el lote existe. Post: los módulos de IA operan con los umbrales de la variedad correspondiente.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Para un lote de variedad guineensis, el umbral de madurez aplicado es de 3 frutos desprendidos; para un lote de variedad híbrida, de 5.",,Must,"Administrador / Asesor técnico - EV-01, EV-02, EV-04",Pendiente de verificación,Bloque-I,CU:CU-12,MU:MU-05,PRUEBA:CP-10
Sub-task,18,17,"HU-08/CA-08 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-08: Dado un lote de variedad guineensis, cuando se clasifica un racimo, entonces el umbral aplicado es de 3 frutos desprendidos; y dado un lote híbrido, entonces el umbral aplicado es de 5.",,Must,"Administrador / Asesor técnico - EV-01, EV-02, EV-04",Pendiente de verificación,Bloque-I,PRUEBA:CP-10,,
Sub-task,19,17,RF-10 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Para un lote de variedad guineensis, el umbral de madurez aplicado es de 3 frutos desprendidos; para un lote de variedad híbrida, de 5.",,Must,"Administrador / Asesor técnico - EV-01, EV-02, EV-04",Pendiente de verificación,Bloque-I,PRUEBA:CP-10,,
Story,20,2,RF-26 — Planificación semanal de labores con presupuesto,"El sistema debe permitir registrar el presupuesto semanal de labores por lote, expresado en la unidad de avance correspondiente, y contrastarlo con el avance efectivamente cumplido al cierre de la semana.  ||  HISTORIA HU-16: Como administrador general, quiero registrar el presupuesto semanal de labores, para contrastar lo planificado con lo efectivamente ejecutado.  ||  ENTRADAS/SALIDAS: Entrada: semana, lote, tipo de labor y meta en unidades. Salida: plan semanal y reporte comparativo presupuestado versus cumplido.  ||  PRE/POST: Pre: los lotes y los tipos de labor están registrados. Post: el plan queda disponible para el seguimiento diario y el cierre semanal.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Al cierre de una semana, el sistema muestra para cada labor planificada la meta, el avance cumplido y el porcentaje de cumplimiento.",,Must,Administrador general - EV-11,Pendiente de verificación,Bloque-II,CU:CU-07,MU:MU-02,PRUEBA:CP-26
Sub-task,21,20,"HU-16/CA-16 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-16: Dado un plan con meta de 1.123 coronas en el lote 3, cuando cierro la semana con 800 cumplidas, entonces el sistema reporta un cumplimiento del 71,2% y un remanente de 323 coronas.",,Must,Administrador general - EV-11,Pendiente de verificación,Bloque-II,PRUEBA:CP-26,,
Sub-task,22,20,RF-26 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Al cierre de una semana, el sistema muestra para cada labor planificada la meta, el avance cumplido y el porcentaje de cumplimiento.",,Must,Administrador general - EV-11,Pendiente de verificación,Bloque-II,PRUEBA:CP-26,,
Story,23,2,RF-27 — Arrastre de labor incompleta a la semana siguiente,"Cuando una labor planificada no alcanza su meta al cierre de la semana, el sistema debe generar automáticamente el remanente como pendiente en el plan de la semana siguiente, conservando la referencia a la labor de origen.  ||  ENTRADAS/SALIDAS: Entrada: cierre de la semana con avance inferior a la meta. Salida: labor pendiente creada en la semana siguiente con la cantidad remanente.  ||  PRE/POST: Pre: existe un plan semanal cerrado con cumplimiento parcial. Post: el remanente aparece en el plan siguiente marcado como continuación.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Dada una meta de 1.123 coronas con 800 cumplidas, el sistema genera en la semana siguiente una labor pendiente de 323 coronas vinculada a la original.",,Should,Administrador general - EV-11,Pendiente de verificación,Bloque-II,CU:CU-07,MU:MU-02,PRUEBA:CP-27
Story,24,2,RF-34 — Registro de solicitud de insumos asociada al plan,"El sistema debe permitir registrar los insumos requeridos para ejecutar el plan semanal y su estado de provisión.  ||  ENTRADAS/SALIDAS: Entrada: insumo, cantidad y semana asociada. Salida: listado de requerimientos por semana con su estado.  ||  PRE/POST: Pre: existe un plan semanal. Post: el requerimiento queda asociado a la semana y consultable por la administración.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Un insumo registrado como requerimiento de la semana aparece en el listado de la semana correspondiente con su estado de provisión.",,Could,Administrador general - EV-11,Pendiente de verificación,Bloque-II,CU:CU-07,MU:MU-02,PRUEBA:CP-34
Story,25,2,RF-36 — Catálogo codificado de labores con tarifa por unidad,"El sistema debe mantener un catálogo de tipos de labor con su código identificador, su unidad de medida asociada (jornal, hora, avance o tonelada) y su tarifa vigente, de modo que la tarifa aplicable a un registro de avance se obtenga del catálogo y no se ingrese de forma manual en cada registro.  ||  ENTRADAS/SALIDAS: Entrada: código de labor, unidad de medida, tarifa y fecha de vigencia. Salida: catálogo consultable y tarifa aplicable a cada registro de avance.  ||  PRE/POST: Pre: persona usuaria con permiso de administración. Post: los registros de avance posteriores emplean la tarifa vigente a su fecha.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Registrada una labor de tipo corona con tarifa por unidad de avance, el cálculo del valor de un registro de 400 unidades corresponde al producto entre la cantidad y la tarifa vigente en la fecha del registro.",,Must,Administrador general - EV-13,Pendiente de verificación,Bloque-II,CU:CU-08,MU:MU-02,PRUEBA:CP-44
Story,26,2,RF-37 — Liquidación semanal de presupuesto contra ejecución,"El sistema debe generar, al cierre de cada semana, una liquidación que contraste por grupo de labor la cantidad presupuestada, la cantidad ejecutada y el valor resultante, y que totalice el gasto presupuestado frente al gasto real.  ||  ENTRADAS/SALIDAS: Entrada: plan semanal y registros de avance del período. Salida: liquidación por grupo con totales y diferencia entre presupuestado y real.  ||  PRE/POST: Pre: existe un plan semanal y registros de avance asociados. Post: la liquidación queda disponible para aprobación.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Para una semana con plan y avances registrados, el sistema presenta por cada grupo de labor la cantidad, la tarifa, el valor y el total, y calcula la diferencia entre el gasto presupuestado y el real.",,Must,"Administrador general - EV-13, EV-11",Pendiente de verificación,Bloque-II,CU:CU-07,MU:MU-02,PRUEBA:CP-45
Story,27,2,RF-38 — Registro de labor no presupuestada,"El sistema debe permitir registrar labores ejecutadas que no figuraban en el plan de la semana, identificándolas de forma diferenciada para que no se confundan con el cumplimiento de las metas planificadas.  ||  ENTRADAS/SALIDAS: Entrada: labor, cantidad, lote y motivo. Salida: registro marcado como no presupuestado, excluido del cálculo de cumplimiento del plan.  ||  PRE/POST: Pre: existe un plan semanal publicado. Post: la labor computa en el gasto real pero no en el cumplimiento de las metas.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Una labor registrada como no presupuestada aparece en el grupo correspondiente de la liquidación y no altera el porcentaje de cumplimiento del plan.",,Should,Administrador general - EV-13,Pendiente de verificación,Bloque-II,CU:CU-07,MU:MU-02,PRUEBA:CP-46
Story,28,2,RF-39 — Aprobación de la liquidación semanal,"El sistema debe requerir la aprobación explícita de la persona administradora para cerrar la liquidación de una semana, dejando constancia de quién aprobó y en qué fecha, tras lo cual los registros del período no admiten modificación sin trazabilidad.  ||  ENTRADAS/SALIDAS: Entrada: liquidación semanal completa. Salida: liquidación cerrada con constancia de aprobación.  ||  PRE/POST: Pre: la liquidación de la semana está generada. Post: el período queda cerrado; toda modificación posterior genera entrada en bitácora.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Aprobada una liquidación, el sistema registra la identidad de quien aprueba y la fecha, e impide modificar los registros del período sin dejar constancia.",,Should,Administrador general - EV-13,Pendiente de verificación,Bloque-II,CU:CU-07,MU:MU-02,PRUEBA:CP-47
Story,29,2,RF-35 — Registro delegado para personal sin dispositivo propio,"El sistema debe permitir que una persona con rol de supervisión registre el avance de labor en nombre de una persona trabajadora que no dispone de teléfono inteligente, dejando constancia de quién efectuó el registro y en nombre de quién.  ||  HISTORIA HU-19: Como jefe de campo, quiero registrar el avance de quien no tiene teléfono, para que ninguna persona quede sin registrar su trabajo.  ||  ENTRADAS/SALIDAS: Entrada: identificación de la persona trabajadora, labor, cantidad y unidad. Salida: avance registrado a nombre de la persona trabajadora, con marca de registro delegado.  ||  PRE/POST: Pre: la persona registradora tiene rol de supervisión y la persona trabajadora está registrada. Post: el avance computa para la persona trabajadora y la bitácora conserva la identidad de quien lo registró.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Un avance registrado de forma delegada aparece atribuido a la persona trabajadora en su consolidado, y la bitácora identifica a la persona supervisora que lo ingresó.",,Must,"Jefe de campo / Asistente de administración - EV-12, EV-05",Pendiente de verificación,Bloque-II,CU:CU-04,MU:MU-04,PRUEBA:CP-35
Sub-task,30,29,"HU-19/CA-19 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-19: Dado un trabajador sin dispositivo propio, cuando registro su avance de forma delegada, entonces el avance se atribuye a esa persona en su consolidado y la bitácora conserva mi identificación como registrador.",,Must,"Jefe de campo / Asistente de administración - EV-12, EV-05",Pendiente de verificación,Bloque-II,PRUEBA:CP-35,,
Sub-task,31,29,RF-35 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Un avance registrado de forma delegada aparece atribuido a la persona trabajadora en su consolidado, y la bitácora identifica a la persona supervisora que lo ingresó.",,Must,"Jefe de campo / Asistente de administración - EV-12, EV-05",Pendiente de verificación,Bloque-II,PRUEBA:CP-35,,
Story,32,3,RF-04 — Registro de labores agrícolas,"El sistema debe permitir registrar las labores ejecutadas por lote: chapia, corona, control químico de malezas, eliminación de flores andróginas, sanidad vegetal, poda, riego, polinización y cosecha.  ||  HISTORIA HU-04: Como trabajador agrícola, quiero registrar la labor que ejecuté en el lote, para que quede constancia sin depender de una libreta de papel.  ||  ENTRADAS/SALIDAS: Entrada: tipo de labor, lote, fecha y persona responsable. Salida: labor registrada y asociada al lote, la fecha y la persona.  ||  PRE/POST: Pre: el lote y la persona trabajadora existen. Post: la labor queda en el historial del lote y computa para el avance.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Una labor registrada queda vinculada a su lote, fecha y responsable, y es recuperable mediante consulta del historial del lote.",,Must,"Trabajador agrícola / Jefe de campo - EV-01, EV-02, EV-05, EV-06, EV-11",Pendiente de verificación,Bloque-III,CU:CU-04,MU:MU-04,PRUEBA:CP-04
Sub-task,33,32,"HU-04/CA-04 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-04: Dado que ejecuté chapia en el lote 3, cuando registro la labor con su cantidad, entonces queda vinculada al lote, la fecha y mi identificación y aparece en el historial del lote.",,Must,"Trabajador agrícola / Jefe de campo - EV-01, EV-02, EV-05, EV-06, EV-11",Pendiente de verificación,Bloque-III,PRUEBA:CP-04,,
Sub-task,34,32,RF-04 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Una labor registrada queda vinculada a su lote, fecha y responsable, y es recuperable mediante consulta del historial del lote.",,Must,"Trabajador agrícola / Jefe de campo - EV-01, EV-02, EV-05, EV-06, EV-11",Pendiente de verificación,Bloque-III,PRUEBA:CP-04,,
Story,35,3,RF-28 — Registro de avance por unidad de labor,"El sistema debe registrar el avance diario de cada persona trabajadora en la unidad propia de cada labor: coronas, bancos, plantas, matas, jornales, racimos o toneladas, según corresponda al tipo de labor.  ||  HISTORIA HU-17: Como trabajador agrícola, quiero registrar mi avance en la unidad propia de cada labor, para que mi trabajo se contabilice como corresponde.  ||  ENTRADAS/SALIDAS: Entrada: labor, cantidad ejecutada y unidad. Salida: avance diario acumulado por persona, lote y semana.  ||  PRE/POST: Pre: existe una labor asignada. Post: el avance queda registrado y disponible para el cálculo de cumplimiento y de remuneración por avance.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Para una jornada de chapia, el sistema registra el número de matas ejecutadas y lo acumula al total semanal de la persona trabajadora.",,Must,"Trabajador agrícola - EV-05, EV-06, EV-11",Pendiente de verificación,Bloque-III,CU:CU-04,MU:MU-04,PRUEBA:CP-28
Sub-task,36,35,"HU-17/CA-17 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-17: Dado que ejecuté 120 coronas, cuando registro el avance, entonces la cantidad se acumula a mi total semanal en la unidad ""coronas"" y el sistema rechaza una unidad incompatible con el tipo de labor.",,Must,"Trabajador agrícola - EV-05, EV-06, EV-11",Pendiente de verificación,Bloque-III,PRUEBA:CP-28,,
Sub-task,37,35,RF-28 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Para una jornada de chapia, el sistema registra el número de matas ejecutadas y lo acumula al total semanal de la persona trabajadora.",,Must,"Trabajador agrícola - EV-05, EV-06, EV-11",Pendiente de verificación,Bloque-III,PRUEBA:CP-28,,
Story,38,3,RF-29 — Consulta de avance acumulado y estimación de remuneración,"El sistema debe permitir a la persona trabajadora consultar en su propio dispositivo el avance acumulado de la quincena y la estimación de remuneración correspondiente al trabajo por avance.  ||  ENTRADAS/SALIDAS: Entrada: identificación de la persona trabajadora y período. Salida: avance acumulado por labor y estimación de remuneración del período.  ||  PRE/POST: Pre: existen registros de avance en el período. Post: se muestra el consolidado sin posibilidad de edición por parte de la persona trabajadora.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Una persona trabajadora consulta su avance quincenal y obtiene el desglose por labor y el valor estimado, coincidente con la suma de sus registros diarios.",,Should,"Trabajador agrícola - EV-06, EV-07",Pendiente de verificación,Bloque-III,CU:CU-08,MU:MU-02,PRUEBA:CP-29
Story,39,3,RF-05 — Registro de monitoreo fitosanitario,"El sistema debe permitir registrar el monitoreo del estado fitosanitario por lote y marcar las incidencias detectadas.  ||  HISTORIA HU-05: Como técnico fitosanitario, quiero registrar el monitoreo sanitario del lote, para dejar trazabilidad de las revisiones y de las incidencias detectadas.  ||  ENTRADAS/SALIDAS: Entrada: lote, observaciones y estado. Salida: registro de monitoreo y, si procede, alerta asociada.  ||  PRE/POST: Pre: persona usuaria autenticada. Post: el monitoreo queda disponible para consulta y reportes.  ||  CRITERIO DE VERIFICACIÓN (§3.2): El sistema almacena cada monitoreo con fecha y lote, y permite filtrar los lotes que presentan incidencia abierta.",,Must,"Técnico fitosanitario - EV-01, EV-02, EV-09",Pendiente de verificación,Bloque-III,CU:CU-15,MU:MU-05,PRUEBA:CP-05
Sub-task,40,39,"HU-05/CA-05 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-05: Dado un monitoreo con incidencia marcada, cuando se filtran los lotes con incidencia abierta, entonces ese lote aparece en el resultado.",,Must,"Técnico fitosanitario - EV-01, EV-02, EV-09",Pendiente de verificación,Bloque-III,PRUEBA:CP-05,,
Sub-task,41,39,RF-05 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"El sistema almacena cada monitoreo con fecha y lote, y permite filtrar los lotes que presentan incidencia abierta.",,Must,"Técnico fitosanitario - EV-01, EV-02, EV-09",Pendiente de verificación,Bloque-III,PRUEBA:CP-05,,
Story,42,3,RF-30 — Reporte de incidencia desde campo con evidencia fotográfica y georreferencia,"El sistema debe permitir reportar una afectación desde el campo adjuntando fotografía y coordenadas del punto exacto, de modo que la verificación posterior no dependa del recuerdo de la persona que reportó.  ||  HISTORIA HU-18: Como asistente de administración, quiero reportar una afectación con foto y ubicación, para poder volver al punto exacto en mi siguiente visita.  ||  ENTRADAS/SALIDAS: Entrada: fotografía, lote, coordenadas y descripción. Salida: incidencia registrada y georreferenciada, visible en el mapa del lote.  ||  PRE/POST: Pre: persona usuaria autenticada con GPS disponible. Post: la incidencia queda pendiente de verificación con su ubicación exacta.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Una incidencia reportada en campo es recuperable posteriormente con su fotografía y sus coordenadas, y su ubicación se muestra sobre el mapa del lote.",,Must,Asistente de administración - EV-07,Pendiente de verificación,Bloque-III,CU:CU-09,MU:MU-06,PRUEBA:CP-30
Sub-task,43,42,"HU-18/CA-18 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-18: Dado que reporto una incidencia con GPS activo, cuando la consulto días después, entonces recupero su fotografía y sus coordenadas y la incidencia figura en mi lista de pendientes de verificación.",,Must,Asistente de administración - EV-07,Pendiente de verificación,Bloque-III,PRUEBA:CP-30,,
Sub-task,44,42,RF-30 — Verificar criterio de verificación de la ficha (§3.2 del ERS),"Una incidencia reportada en campo es recuperable posteriormente con su fotografía y sus coordenadas, y su ubicación se muestra sobre el mapa del lote.",,Must,Asistente de administración - EV-07,Pendiente de verificación,Bloque-III,PRUEBA:CP-30,,
Story,45,3,RF-31 — Lista de verificación de pendientes por visita,"El sistema debe mantener, para cada persona con rol de supervisión, una lista de actividades pendientes de verificación en su próxima visita a campo, alimentada por las incidencias reportadas.  ||  ENTRADAS/SALIDAS: Entrada: incidencias reportadas y no verificadas. Salida: lista de pendientes ordenada por antigüedad y criticidad.  ||  PRE/POST: Pre: existen incidencias sin verificar. Post: la lista se actualiza al marcar cada pendiente como verificado.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Al reportarse una incidencia, esta aparece en la lista de pendientes de la persona supervisora y desaparece al marcarse como verificada.",,Should,Asistente de administración - EV-07,Pendiente de verificación,Bloque-III,CU:CU-09,MU:MU-08,PRUEBA:CP-31
Story,46,3,RF-06 — Seguimiento de etapas del cultivo,"El sistema debe registrar y dar seguimiento a la etapa del cultivo por lote: siembra, mantenimiento, polinización y cosecha.  ||  ENTRADAS/SALIDAS: Entrada: etapa y fecha de transición por lote. Salida: línea de tiempo de etapas del lote.  ||  PRE/POST: Pre: el lote existe. Post: la etapa actual queda actualizada.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Cada lote muestra su etapa actual y el historial completo de transiciones con sus fechas.",,Should,Administrador general - EV-01,Pendiente de verificación,Bloque-III,CU:CU-12,MU:MU-05,PRUEBA:CP-06
Story,47,3,RF-11 — Registro de análisis de suelo y foliar,"El sistema debe registrar los resultados de los análisis de suelo y foliar por lote, incluyendo nitrógeno, fósforo, potasio y elementos menores, para guiar la fertilización.  ||  ENTRADAS/SALIDAS: Entrada: valores del análisis por lote y fecha. Salida: registro histórico y comparativo por lote.  ||  PRE/POST: Pre: el lote existe. Post: el análisis queda asociado al lote y consultable por fecha.  ||  CRITERIO DE VERIFICACIÓN (§3.2): Tras registrar un análisis, sus valores quedan asociados al lote y pueden compararse con los análisis previos del mismo lote.",,Should,"Administrador / Asesor técnico - EV-02, EV-04",Pendiente de verificación,Bloque-III,CU:CU-02,MU:MU-05,PRUEBA:CP-11
Story,48,3,RF-17 — Registro y consulta de datos climáticos,El sistema debe registrar y permitir consultar los datos climáticos del cultivo: milímetros de lluvia medidos con pluviómetro y datos de estaciones meteorológicas.  ||  ENTRADAS/SALIDAS: Entrada: lectura de precipitación y fecha. Salida: histórico climático y consulta de lluvia acumulada por período.  ||  PRE/POST: Pre: persona usuaria autenticada. Post: la lectura queda incorporada al registro climático del cultivo.  ||  CRITERIO DE VERIFICACIÓN (§3.2): El sistema permite consultar la precipitación acumulada en un rango de fechas definido por la persona usuaria.,,Should,"Administrador general / Asesor técnico - EV-01, EV-02, EV-03",Pendiente de verificación,Bloque-III,CU:CU-05,MU:MU-05,PRUEBA:CP-17
Story,49,4,RF-13 — Registro del proceso de polinización,"El sistema debe registrar la polinización por lote, incluyendo el estado de la antesis (coloración amarilla o negra) y la verificación visual de la aplicación del polinizante.  ||  HISTORIA HU-10: Como jefe de polinización, quiero registrar el estado de la antesis y la verificación visual, para controlar la calidad de la labor que determina la producción.  ||  ENTRADAS/SALIDAS: Entrada: lote, estado de antesis y verificación visual. Salida: registro de polinización asociado al lote, fecha y persona.  ||  PRE/POST: Pre: el lote se encuentra en etapa de polinización. Post: el registro queda disponible para el control de calidad de la labor.  ||  CRITERIO DE VERIFICACIÓN (§3.2): El sistema permite registrar la polinización indicando el estado de antesis y consultar los lotes polinizados en una fecha dada.",,Must,Jefe de polinización / Polinizador - EV-03,Pendiente de verificación,Bloque-IV,CU:CU-03,MU:MU-04,PRUEBA:CP-13
Sub-task,50,49,"HU-10/CA-10 — Verificar criterio de aceptación (Gherkin, §5.2 del ERS)","CA-10: Dado un lote en etapa de polinización, cuando se registra la jornada con estado de antesis, entonces el registro queda asociado al lote, la fecha y la persona y es consultable por fecha.",,Must,Jefe de polinización / Polinizador - EV-03,Pendiente de verificación,Bloque-IV,PRUEBA:CP-13,,
Sub-task,51,49,RF-13 — Verificar criterio de verificación de la ficha (§3.2 del ERS),El sistema permite registrar la polinización indicando el estado de antesis y consultar los lotes polinizados en una fecha dada.,,Must,Jefe de polinización / Polinizador - EV-03,Pendiente de verificación,Bloque-IV,PRUEBA:CP-13,,
